Ticker,Name,Quantity,Total Value
CX_US0533321024_NYQ,AUTOZONE INC,14,6939.66
CX_US0584981064_NYQ,BALL CORP,162,6872.04
CX_US1696561059_NYQ,CHIPOTLE MEXICAN GRILL INC,67,25123.66
CX_US1912161007_NYQ,COCA-COLA,68,3037.56
CX_US29379VAY92_USD,ENTERPRISE PRODUCTS OPERATING LLC,67,6668.51
CX_US30231GAN25_USD,EXXON MOBIL CORP,68,6551.8
CX_US46120E6023_NSQ,INTUITIVE SURGICAL INC,13,12306.45
CX_US4878361082_NYQ,KELLOGG,67,4439.42
CX_US5486611073_NYQ,LOWES COMPANIES INC,67,5089.32
CX_US56585AAG76_USD,MARATHON PETROLEUM CORP,67,6785.09
CX_US651639AN69_USD,NEWMONT MINING CORP,67,6959.29
CX_US70450Y1038_NSQ,PAYPAL HOLDINGS INC,67,3950.32
CX_US9100471096_NYQ,UNITED CONTINENTAL HOLDINGS INC,67,5286.3
